date,title,tags,description,author
"Monday 20 July,Monday 20 July",Django Girls Workshop,"django-girls,workshop","Django Girls is a free, one-day workshop for women who are new to programming. During the workshop, our participants will learn how to build their first Web application using Python, Django, HTML, and CSS. Participants were selected in advance for the workshop, and our coaches are all EuroPython attendees who volunteered to mentor the participants through the process.,This year’s workshop is organized by ,Mikey Ariel, and ,Petr Viktorin,, with support from the ,Django Girls, global organization. Since the first Django Girls workshop was held at EuroPython 2014, this workshop also marks our first birthday! After the workshop, we will operate a booth in collaboration with PyLadiesES throughout the conference, so come say hello!,Official website: ,http://djangogirls.org/europython2015/,Twitter: ,@DjangoGirlsEP15",Mikey Ariel
"Monday 20 July,Monday 20 July",Beginner's Guide to Machine Learning Competitions,"data-science,python,predictions,natural-language-processing,competitions,open-source,machine-learning,ipython,ipython-notebook,nltk,pandas,sklearn","This tutorial will offer a hands-on introduction to machine learning and the process of applying these concepts in a Kaggle competition. We will introduce attendees to machine learning concepts, examples and flows,  while building up their skills to solve an actual problem. At the end of the tutorial attendees will be familiar with a real data science flow: feature preparation, modeling, optimization and validation. ,Packages used in the tutorial will include: IPython notebook, scikit-learn, pandas and nltk. We’ll use IPython notebook for interactive exploration and visualization, in order to gain a basic understanding of what’s in the data. From there, we’ll extract features and train a model using scikit-learn. This will bring us to our first submission. We’ll then learn how to structure the problem for offline evaluation and use scikit-learn’s clean model API to train many models simultaneously and perform feature selection and hyperparameter optimization.,At the end of session, attendees will have time to work on their own to improve their models and make multiple submissions to get to the top of the leaderboard, just like in a real competition. Hopefully attendees will not only leave the tutorial having learned the core data science concepts and flow, but also having had a great time doing it.",Christine Doig
Tuesday 21 July,Why storing files for the web is not as straightforward as you might think.,"web,SQLAlchemy,HTTP.,cloud,mongodb","DEPOT ( http://depot.readthedocs.org/en/latest/ ) is a file storage framework born from the experience on a project that saved a lot of files on disk, until the day it went online and the customer system engineering team decided to switch to Heroku, which doesn’t support storing files on disk.,The talk will cover the facets of a feature “saving files” which has always been considered straightforward but that can become complex in the era of cloud deployment and when infrastructure migration happens. ,After exposing the major drawbacks and issues that big projects might face on short and long terms with file storage the talk will introduce DEPOT and how it tried to solve most of the issues while providing a super-easy-to-use interface for developers. We will see how to use DEPOT to provide attachments on SQLAlchemy or MongoDB and how to handle problems like migration to a different storage backend and long term evolution.,Like SQLAlchemy makes possible to switch your storage on the fly without touching code, DEPOT aims at making so possible for files and even use multiple different storages together.",Alessandro Molina
Thursday 23 July,What's the fuzz all about? Randomized data generation for robust unit testing,"unit-testing,hypothesis,fuzzing","In static unit testing, the output of a function is compared to a precomputed result. Even though such unit tests may apparently cover all the code in a function, they might cover only a small subset of behaviours of the function. This potentially allows bugs such as heartbleed to stay undetected. Dynamic unit tests using fuzzing, which allows you to specify a data generation template, can make your test suite more robust.,In this talk, we demonstrate fuzzing using the hypothesis library.
Hypothesis is a Python library to automatically generate test data based on a template.
Data is generated using a strategy. A strategy specifies how data is generated, and how falsifying examples can be simplified. Hypothesis provides strategies for Python’s built-in data types, and is easily customizable.Since test data is generated automatically, we can not compare against pre-computed results. Instead, tests are usually done on invariants of functions. We give an overview of such invariants.,Finally, we demonstrate how we use fuzzing to test machine learning algorithms at Blue Yonder.",Moritz Gronbach
Monday 20 July,Writing quality code,"python,Programming,Coding,BestPractices","The quality of written code is an important factor in a final success of a software project.
Perhaps there is no universal definition of high quality code, however usually it’s characterized as clear and readable, well-designed, well tested and documented, easier to debug, maintain and extend, etc.,Python was designed to be a highly readable language that would make it easier to develop high quality code. Nevertheless, programming language is only a tool in a software development process and in the end the quality of code depends mostly on its author’s concept and decisions he make. ,In this talk I would like to present some of ideas, techniques and tools for improving the quality of written code, tried out with a good result in everyday work on developing software in Python.",Radosław Jankiewicz
Thursday 23 July,What it's really like building RESTful APIs with Django,"api,HTTP.,REST,django","At the beginning of this year I started working at Lyst and I was tasked with helping to replace their old and outdated web API with a modern RESTful replacement. ,Along the way we encountered some interesting design decisions and now I’m going to share what we learned about building a real RESTful API with Django and Django REST framework.  ,I’ve been talking about how to build great RESTful APIs for the past year at various Python and Django conferences in Europe. Now I’d like to take some real world experiences from creating Lyst’s new web API and share what I’ve learned along the way.",Paul Hallett
"Monday 20 July,Monday 20 July",Beginners' Day,"python,introduction","New to Python?  Come along to the beginners’ day!  It’s designed to give you a crash-course in Python, and the ecosystem around it, to give you the context you need to get the most out of EuroPython.  ,Suitable for total beginners, or people who’ve just started learning Python, as well as people who already know other languages but don’t know Python yet. Bring your laptop, as a large part of the day will be devoted to learning Python on your own PC.,This session will be presented in English (although a few of the coaches do speak basic Spanish, French and Italian).  Note there are also some Spanish-language Beginner sessions scheduled for day 2 of the conference.,Morning:,Afternoon:,We need to get an idea of numbers for this session, so if you are interested in attending, please drop a quick email to obeythetestinggoat@gmail.com",Harry Percival
Thursday 23 July,Yak shaving a good place to eat using non negative matrix factorization,"fun,visualization,data-science","Trying to find a good place to eat has become much easier and democratic with online reviews, but on the other hand, that creates new problems.  Can you trust that 5 star review of fast food chain as much as the 1 star of a fancy restaurant because “Toast arrived far too early, and too thin”?,We all like enjoy things differently.  Starting of on the assumption that the “best pizza” is not the same for everyone.  Can we group users into people that has similar tastes? Can we identify  reviews and restaurants to make sense of it? Can that lead us to a better way to find restaurants that you like?,Using some data handling techniques I walk you through my process and results that I’ve got from that idea.  There are no requisites for this talk except basic python and math knowledge (matrices exist)",Adriano Petrich
Monday 20 July,with modern_peripherals:  Python and Flask,"web,socket,python,communication,Beginners,flask,technologies,python3","with modern_peripherals: 
    Python and Flask,Auto-scrolling sites, glance-following ads, and gesture friendly web pages are coming!,Over the last few years three products  emerged that enable interaction with computer  in a new way: Myo Armband, Leap Motion Controller and EyeTribe. The Myo Armband is a device that uses the electrical activity in your muscles to wirelessly control your computer, phone, and tablet, which is especially useful when your hands are “tied” or dirty.  This device will be used to navigate through the presentation. The Leap Motion Controller tracks both hands in front of the screen.  From a web developer’s perspective, both devices allows us to use gestures, previously  restricted to touch devices, on desktops. EyeTribe is an affordable eye-tracking device. ,The talk will briefly cover setting up SDKs and python wrappers, and then focus on possible uses in daily life, business and, of course, web app development. Code examples will be included. In addition, the trade-offs between processing this new type of input data in the client versus processing input on the server will be discussed.",Piotr Dyba
Tuesday 21 July,Using Scikit-Learn's interface for turning Spaghetti Data Science into Maintainable Software,"Best Practice,data-science,python,Testing,machine-learning,cleancode,sklearn","Finding a good structure for number-crunching code can be a problem, this especially applies to routines preceding the core algorithms: transformations such as data processing and cleanup, as well as feature construction.,With such code, the programmer faces the problem, that their code  easily  turns into a sequence of highly interdependent operations, which are hard to separate. It can be challenging to test, maintain and reuse such “Data Science Spaghetti code”.,Scikit-Learn offers a simple yet powerful interface for data science algorithms: the estimator and composite classes (called meta-estimators). By example, I show how clever usage of meta-estimators can encapsulate elaborate machine learning models into a maintainable tree of objects that is both handy to use and simple to test.,Looking at examples, I will show how this approach simplifies model development, testing and validation and how this brings together best practices from software engineering as well as data science.,Knowledge of Scikit-Learn is handy but not necessary to follow this talk.",Holger Peters
Monday 20 July,What is wrong with API wrappers and how can we do better,"web,HTTP,wrapper,api,ipython,requests","Wrappers are an essential tool for interacting with web APIs. They reduce the amount of work needed to make requests and sometimes, only sometimes prevent the developer from dealing with extensive documentations. It’s common to encounter libs that require not only the study of their own documentation, but also the APIs one, duplicating the needed work. This is caused because wrappers do not follow a design pattern, each developer creates it’s own design, coding style and use their preferred tools.   ,Tapioca, is what can be called: “a wrapper generator”. Creating API wrappers with Tapioca is extremely easy and fast. For example, it took 1 hour to write the full wrapper for the ,Parse.com, REST API. But this is not the more important thing, Tapioca libs have a similar interface so once understood how they work, developers can work with any other without the need to learn a new interface.    ,Tapioca is also thought to comply with REST features and takes HATEOAS (Hypermedia as the engine of application state) seriously, so “following” links and pagination are natively supported. Explorability is also a key concept and developers are encouraged to play with Tapioca packages and find their way through APIs before writing their final code. Although there are some production ready ,Tapioca wrappers,, it is a work in progress, there are still many features to be explored.",Filipe Ximenes
Monday 20 July,What dojos are and how we run them at pyBCN,"python,Functional Programming,tdd,Beginners,learning,fun,unit-testing","Coding dojos are a very good way to share coding knowledge among members in a community, and, at the same time, introduce people into the language and community.
Sometimes, though, the typical approach to set coding dojos may prevent expert coders to join the session. This is the story of the pyBCN’s dojos, so far.",Núria Pujol
Tuesday 21 July,Using Git Hooks to Help Your Engineering Teams Work Autonomously,"Development,Git,CLI,agile,git-hooks,yaml,FOSS,open-source","In this talk, Software Engineer Joao Santos will describe how the engineering team at Zalando has been migrating to local Git hooks to ensure that engineers can work autonomously and flexibly. Zalando—Europe’s leading online fashion platform for men, women and children– began shifting from SVN to Git in late 2013. Santos and his colleagues used Python to create a Git update hook that enabled the team to reject changes to a branch while still allowing changes to other branches. He’ll explain why his team chose Python for this job instead of a bash script, point out mistakes made during the process (and solutions his team used to fix them), and the benefits generated by this migration. He’ll also talk about turnstile: a set of open-source, configurable, optional local Git hooks, created by the Zalando team, that enables engineers to abide by internal rules for committing code while following their own coding style and workflow preferences.",João Santos
Tuesday 21 July,Use Python to process 12mil events per minute and still keep it simple (Talk),"Development,performance,bigdata,architecture","Creating a large-scale event processing system can be a daunting task. Especially if you want it “stupid simple” and wrapped around each client’s needs. We built a straightforward solution for this using Python 3 and other open-source tools.,Main issues to solve for a system that needs to be both performant and scalable:,handling a throughput of 1 million events per minute in a 4 cores AWS instance;,following the principle of least astonishment;,data aggregation and how Python’s standard libraries and data structures can help;,failsafe and profiling mechanisms that can be applied to any Linux service in production;,addressing unexpected behaviors of Python’s Standard Library; like reading from a file while it is written;,tackling a sudden spectacular cloud instance failure;,The alternative to this system would be to adopt existing technology stacks that might be too general, add more complexity, bloat, costs and which need extensive work to solve your specific problem. Moreover, our approach resulted in over 85% drop on hardware utilisation.,Context: Production Software – II (where good coding reduces the client’s bill)",Teodor Dima
Tuesday 21 July,Understanding Non-blocking IO,"web,asyncronous,networking","As an engineer working on any web stack, you may have heard about Blocking and Non-Blocking IO. You may as well have used any framework or library that supports Non-Blocking IO. After all, they are very useful as you don’t want to block execution of other tasks while one task is waiting to complete a network call to another service (like HTTP call to an API or may be a TCP call to your database). Non-Blocking IO while doing tasks and not wait for IO. This also helps us handle a lot many connections than we possibly could with Blocking IO. Python supports Non-Blocking IO, but we always use some existing 3rd party library that hides all the gory details and makes it all look like black magic to the uninitiated. But there is nothing like black magic.,This presentation will be an introductory talk focused at explaining how Non-Blocking IO works, which is the basis of libraries like Gevent, Tornado and Twisted. We will learn about how Non-Blocking IO can be implemented using the most basic modules that form the base for the above mentioned libraries. Hopefully after this talk, Non-Blocking IO will not be an unsolved mystery for you anymore.",Vaidik Kapoor
Wednesday 22 July,Type Hints for Python 3.5,python,"PEP 484, “Type Hints”, was accepted in time for inclusion in Python 3.5 beta 1. This introduces an optional standard for specifying types in function signatures. This concept was previously discussed as “optional static typing” and I similar to the way TypeScript adds optional type declarations to JavaScript.,In this talk I will discuss the motivation for this work and show the key elements of the DSL for describing types (which, by the way is backward compatible with Python 3.2, 3.3 and 3.4). Note: ,Python will remain a dynamically
typed language, and I have no desire to ever make type hints
mandatory, even by convention!",Guido van Rossum
Friday 24 July,Tuning Python applications can dramatically increase performance,"Development,visualization,profiling,cpython,python,metrics,Tooling,performance","Traditional Python profiling tools have limitations.  Standard tools like ,cProfile, and most all third party tools (like ,Python Tools, plugin for Microsoft Visual Studio) suffer from common flaws.  First, the profiling overhead is high (up to 50%).  Second, the  information provided is “function-level” i.e. the  tool shows how much time was spent within a function, but not actionable “line-level” information to show which exact lines are ,the bottleneck, in a function.  Adding “line-level” information to most tools causes the application to run even slower. Third, some tools require modification of the application source code to enable profiling thus disrupting development.,This talk presents an experimental Python profiler.  It typically has less than 15% overhead, shows line-level information and does not require modification of application source code.  Experiments using it resulted in performance gains of 2x and more.  Of course results vary by application, but in a typical application there may be quick optimizations easily identified by this type of profiler.,The talk will briefly describe the basics of what, why and how to profile.  The profiler‘s use and results will be shown in the presentation with examples based on real-life applications.  Previous experience of working with profilers and trying to optimize an application is a plus, but not required, to gain a better appreciation of the work presented.",Vasilij Litvinov
Tuesday 21 July,To the Clouds: Why you should deploy to the cloud even if you don't want to,"DevOps,ec2,linux,go,OpenStack,cloud","Do you deploy your Python services to Amazon EC2, or to Openstack, or even to HP cloud, joyent or Azure? Do you want to - without being tied into any one of them? What about local full stack deployments with lxc or kvm containers?,Even if you’re convinced you don’t need “the cloud” because you manage your own servers, amazing technologies like Private clouds and MaaS, for dynamic server management on bare metal, may change your mind.,Fed up with the cloud hype? Let us rehabilitate the buzzword! (A bit anyway.),A fully automated cloud deployment system is essential for rapid scaling, but it’s also invaluable for full stack testing on continuous integration systems. Even better, your service deployment and infrastructure can be managed with Python code? (Devops distilled),Treat your servers as cattle not as pets, for service oriented repeatable deployments on your choice of back-end. Learn how service orchestration is a powerful new approach to deployment management, and do it with Python! If any of this sounds interesting then Juju maybe for you!,In this talk we’ll see a demo deployment for a Django application and related infrastructure. We’ll be looking at the key benefits of cloud deployments and how service orchestration is different from the “machine provisioning” approach of most existing cloud deployment solutions.",Michael Foord
Wednesday 22 July,Todo es una trampa,"python,cleancode,tdd,architecture,unit-testing","A día de hoy usamos un enorme conjunto de bibliotecas y frameworks, además los usamos con cierta libertad dentro de nuestro código, y pasado el tiempo nos damos cuenta de que esa biblioteca, no cubre mis necesidades, o tiene algún fallo, o no escala bien en proyectos más grandes… en resumen, hemos caído en una trampa. No se puede evitar caer en estas trampas, porque depende de nuestras necesidades y las bibliotecas que utilizamos, por lo tanto, solo podemos estar lo mejor preparados posibles para salir de ellas tan pronto como nos demos cuenta.,Como solución a esto, plantearé varias vías (nada innovadoras, pero menos usadas de lo que deberían). Unit testing (TDD idealmente), arquitectura hexagonal, y algunas reglas básicas de clean code.",Jesús Espino
Friday 24 July,Writing Domain Specific Languages with Python,"python,technologies,Tooling","Python is an expressive general purpose programming language. Its syntax provides many ways to represent structure and minimise code repetition and boilerplate.,But Python not always expressible enough. Perhaps when you’ve built a complicated enough system with hard-to-express inter-relationships, the code required to construct or operate on it can become complicated, repetitive and unreadable. Or perhaps you have users unfamiliar with Python who need to understand or edit a system. In cases like these, stepping beyond the syntax and semantics of basic Python can be an advantage.,Daniel will describe various ways you can  implement your own Domain Specific Languages, languages perhaps completely unlike Python that can succinctly describe more complicated Python systems.,This talk will cover:",Daniel Pope
Thursday 23 July,Through the lens of Haskell: exploring new ideas for library design,"Haskell,design,library","Haskell is very different from Python, and provide different tools to library and framework designers. As a result, its ecosystem is filled with libraries and frameworks that solve the same problems we try to solve in our favorite programming languages, but with a very different approach.,This talk is an exploration of the Haskell ecosystem, from the point of view of a Python developer. 
We will review various popular Haskell libraries and frameworks, focusing on the library design. The goal is to provide the audience a sneak peak of some different ways to tackle problems, and hopefully to inspire library authors to explore some design space that we don’t usually explore in Python.,This talk should be interesting to any intermediate Python programmer who is curious about other ways to solve problems. No Haskell knowledge is required from the audience.",Georges Dubus
Monday 20 July,The Python Compiler,"python,performance,scipy,numpy,FOSS","The Python compiler Nuitka has evolved from an absurdly compatible Python to C++ translator into a ,statically optimizing Python compiler,. The mere peephole optimization is now accompanied by full function/module level optimization, with more to come, and only increased compatibility.,Witness local and module ,variable value propagation,, ,function in-lining, with suitable code, and graceful degradation with code that uses the full Python power. (This is considered kind of the break through for Nuitka, to be finished for EP.) No compromises need to be made, full language support, all modules work, including extension modules, e.g. PyQt  just works.,Also new is a plugin framework that allows the user to provide workarounds for the standalone mode (create self contained distributions), do his own type hinting to Nuitka based on e.g. coding conventions, provide his own optimization based on specific knowledge.,Ultimately, Nuitka is intended to grow the Python base into fields, where performance is an issue, it will need your help. Scientific Python could largely benefit from future Nuitka. Join us now.",Kay Hayen
Wednesday 22 July,The Salt Route,"Best Practice,ConfigurationManagement,DevOps,django,architecture,deployment,saltstack,automation","An introduction to the devops culture by sharing our experience at PeopleDoc Inc. a successfully French start-up.,The salt route talk presents some best practices and common mistakes that arise in everyday teamwork between developers and sysadmins using SaltStack for configuration management, server provisioning, orchestration and Django web applications deployment.,As an introductory talk there is no prerequisites required.",Pablo SEMINARIO
Wednesday 22 July,The realities of open source testing: lessons learned from “Adopt pytest month”,"open source,open-source,Testing,community,tdd,pytest,py.test","Ever feel like your open source project could be better tested? Lack of tests holding you back from contributors but you don’t know where to start? You’re not alone.,“Adopt pytest month”, was held in April 2015. ,Pytest, volunteers were paired with open source software projects, to find a path to better testing with pytest. Projects varied from  libraries/command line utilities, to a browser, to a complex Django app. In some cases converting existing tests was necessary, in others writing the first tests in existence for non-trivial amounts of code. Two projects were open sourced specifically to take part in “adopt pytest month”. What began as an experiment in increasing software audience proved to be an interesting exercise in strengthening community and most valuable of all, provided a newcomer’s perspective to veteran contributors.,This talk will discuss what worked well with “adopt pytest month”, what didn’t, what we learned about pytest and what you could take away for your open source project, be it an improved testing environment or an improved contributor community. A basic knowledge of testing and pytest will be useful.",Brianna Laugher
Monday 20 July,The Lightweight Cloud Servers War Begins,"Best Practice,infrastructure,rocket,Photon,community,Snappy,CoreOS,docker,Virtualization,cloud,atomic","Docker has introduced a new model of deployment solving the infamous “Deployment Matrix from Hell” by using containers.
But this also brought the spotlight back on the Operating System side, and following the trails of CoreOS and Atomic Host, a new generation of Cloud Servers are born by using containers instead of traditional RPM/DPKG/tarball/whaterver packages model to deploy services. CoreOS/Atomic Host/Snappy Ubuntu and now VMWare Photon also provides transactional image-based OS focusing on security and built-in cluster management.,During this talk, we’ll present these next-gen OS, and their components and how they fit in. ",Haikel Guemar
Tuesday 21 July,The hook-based plugin architecture of py.test,"architecture,software-design,plugin","The hook-based plugin system used by py.test and being made available
as a stand alone package allows easy extensibility based on defined
extension points which can be implemented using hook functions in the
plugins.  Plugins can themselves call these hooks as well as define
future extension points allowing for a very flexible design.,py.test itself uses this plugin system from the ground up with the
entire application being implemented by built-in plugins.  This
architecture has proven powerful and flexible over the years, on both
command line tools as well as long running daemons.  This talks will
describe how the plugin system works and how it deals with passing
arguments and return values 1:N hook calls. It will also describe how
to design an application consisting entirely of plugins.  While not
specifically talking about py.test it will also give a solid
understanding on how plugins work in py.test.,Slides: http://devork.be/talks/pluggy/pluggy.html,Org-mode source: http://devork.be/talks/pluggy/pluggy.org",Floris Bruynooghe
Thursday 23 July,The GIL is dead: PyPy-STM,"GIL,PyPy,concurrency","Take a big, non-multithreaded program, and run in on multiple cores!,PyPy, the Python implementation written in Python, experimentally
supports Software Transactional Memory (STM).  It runs without the
Global Interpreter Lock (GIL).,The strength of STM is not only to remove the GIL, but to also enable
a novel use of multithreading, inheritently safe, and more useful in
the general case than other approaches like OpenMP.  The main news
from last year’s presentation is that there is now a way to get
reports about the “STM conflicts”, which is essential to go past toy
examples.  With it, you can incrementally remove conflicts from large
code bases until you see a benefit from PyPy-STM.  The goal of the
talk is to give several concrete examples of doing that.",Armin Rigo
Wednesday 22 July,TDD for APIs,"agile,api,pytest,tdd,django","It is always tough to test a complex API comprehensively. The additional level of complexity brings us to the question “How can we validate that our API is working as intended?”,In this talk I will explain how to use test driven development for APIs to solve this problem and even further how TDD can drive an API Design towards a more usable design.
I will outline my practical approach with an implementation example based on django. And finally I will give you a brief summary of my lessons learned using this approach in customer projects.",Michael Kuehne
Thursday 23 July,Terminal Whispering,"command-line,curses,Urwid,terminal,unix,Blessings,REPL","The terminal emulators we run so many of our programming tools in are more powerful than we remember to give them credit for, and the key to that power is understanding the interface. This talk will cover terminal colors and styles, writing to arbitrary portions of the screen, handling signals from the terminal, determining the terminal’s dimensions and scrollback buffer behavior.,Terminal programming can get hairy; along the way we’ll deal with encoding issues, consider cross platform concerns, acknowledge 4 decades’ worth of standards for terminal communication, and consider that humans at interactive terminals may not be the only users of our interfaces. By gaining an understanding of these issues, we’ll be able choose from the abstractions over them offered by Python libraries Urwid, Blessings, and Python Prompt Toolkit.,This talk requires minimal Python knowledge, but does assume familiarity with command line tools in a unix environment.,An abbreviated version of this talk was presented at PyCon 2015 in Montréal: https://www.youtube.com/watch?v=WAitSilLDUA With the additional time I’d hope to present more code examples, a more in-depth tour of existing libraries and more practical advice about writing programs that use the terminal, and an additional example of a difficult terminal details: dealing with reflowing of text in modern terminal emulators like GNOME Terminal and iTerm.",Thomas Ballinger
Monday 20 July,The Butler and the Snake - Continuous Integration for Python,"python,ContinuousDelivery,Testing,ContinuousIntegration,tdd","Continuous Integration is a software development practice where members of a team integrate their work frequently, leading to multiple integrations per day. Each integration is verified by an automated process (including tests) to detect integration errors as quickly as possible.,This talk will introduce the basic principles for building an effective Continuous Integration system for Python-based projects. It will present the lessons learned from building a Jenkins-based CI system for an Open Source project with a distributed team of more than 340 core developers that ranks  among the top 2% of all open source projects worldwide (Plone). ",Timo Stollenwerk
Thursday 23 July,"TDD - the why, the how and the when not","Development,Testing,py.test,tdd","TDD is great, we all know that. But why is it so, and under which circumstances is it ineffective or even harmful?,In this talk I want to delve into the deeper meaning of testing to derive how to do it best.
All of this from the point of view of somebody who has profited but also struggled with testing and TDD.,For every experience level from beginner to advanced there is something to learn or ponder.",Fabian Kreutz
Thursday 23 July,Testing with two failure seeking missiles: fuzzing and property based testing,"Testing,fuzzing","Testing with purely random data on it’s own doesn’t get you very far. But
two approaches that have been around for a while have new libraries that
help you generate random input, that homes in on failing testcases.,First ,Hypothesis,, a Python implementation and update of the Haskell library
QuickCheck. Known as property based testing, you specify a property of your
code that must hold, and Hypothesis does its best to find a counterexample.
It then shrinks this to find the minimal input that contradicts your
property.,Second, ,American fuzzy lop, (AFL), is a young fuzzing library that’s already
achieved an impressive trophy case of bug discoveries. Using
instrumentation and genetic algorithms, it generates test input that
carefully searches out as many code paths as it can find, seeking greater
functional coverage and ultimately locating crashes and hangs that no other
method has found. I’ll be showing how with ,Python-AFL, we can apply this
tool to our Python code.",Tom Viner
Tuesday 21 July,TDD is not about tests!,"Best Practice,Development,python,agile,Testing,Coding,tdd","TDD is not about tests!
Well, actually, it’s not a about writing tests, or writing them before the code. This talk will show you how to use tests to really drive development by transforming business requirements into tests, and allowing your code to come as their natural consequence.,Too often this key aspect is neglected and the result is that tests and code are somehow “disconnected”. The code is not as short and efficient as it could be, and the tests are not as effective. Refactoring is not always easy, and over time all sorts of issues start to come out of the surface.,However, we will show that when TDD is done properly, tests and code merge beautifully into an organic whole that fulfills the business requirements, and provides all sorts of advantages: your code is minimal, easy to amend and extend, readable, clean. Your tests will be effective, short and focused, and allow for light-hearted refactoring and excellent coverage.,We will provide enough information and examples to spark the curiosity of the novice, and satisfy the need of a deeper insight for the intermediate, and help you immediately benefit from this transformative technique that is still often underestimated and misunderstood.,Slides: ,http://slides.com/gianchub/ep2015-tdd#/",Fabrizio Romano
Thursday 23 July,Taking the pain out of passwords and authentication,"web,u2f,passwords,authentication,experience,2fa,fido,2-factor,security,uaf","Passwords are a pain for us all - programmers, users and admins alike. How can we reduce that pain, or eliminate it entirely?,This talk will,Slides",Alex Willmer
Monday 20 July,Sustainable way of testing your code,"maintainability,unit-testing,nose,readability","How to write a test so you would remember what it does in a year from now? How to write selective tests with different inputs? What is test? How to subclass tests cases and yet maintain control on which tests would run? How to extend or to filter inputs used in parent classes? Are you a tiny bit intrigued now? :),This is not another talk about how to test, but how to organize your tests so they were maintainable. I will be using nose framework as an example, however main ideas should be applicable to any other framework you choose. Explaining how some parts of code works I would have to briefly touch some advanced python topics, although I will provide need-to-know basics there, so people with any level of python knowledge could enjoy the ride.",Eugene Amirov
Tuesday 21 July,Stop trying to glue your services together; import lymph,"web,open-source,zookeeper,rabbitmq,framework,rpc,gevent,werkzeug,services,zeromq,events","What if you could focus on functionality rather than the glue code between services?,Lymph is an opinionated framework for writing services in Python.  It features pluggable service discovery, request-reply messaging and pluggable pub-sub messaging. ,As our development teams are growing, we’re moving away from our monolithic architecture. We want to write services and not worry about the infrastructure’s needs. We want development to be fast, quick and simply work.,In this talk we will show you how easy it is to write and run services with lymph.
Go check http://lymph.io - we are accepting pull requests.,http://import-lymph.link/",Max Brauer
Friday 24 July,"Static type-checking is dead, long live static type-checking in Python!","static-analysis,Testing,python3,type-hinting,library","A few months ago, Guido unfolded PEP 484, which was highlighted at PyCon 2015 as a keynote presentation. This proposal would introduce type hints for Python 3.5. While the debate is still roaring and without taking a side, I believe that there is much to learn from static type-checking systems.,The purpose of this talk is to introduce ways that could be used to fully take over the amazing power that comes with static types, inside a dynamic type language such as Python. The talk will go over what exactly a static type system is, and what kind of problem it tries to solve. We will also review Guido’s proposal of type hinting, and what it could mean to you. Finally, I will present a few libraries that are available, such as Hypothesis  or various QuickCheck-inspired library that tries to build more robust tests, how they achieve it and their limitations. Throughout the talk, a lot of examples will used to fully illustrate the ideas being explained. ,At the end of this talk, you should have a better understanding of the wonderful world of type systems, and what it really means to you. It should help you decide wether using type hints will be helpful to you and also if an external library trying to fuzz your tests has its place inside your project ",Jean-Philippe Caissy
Monday 20 July,Standing on the Shoulders of Giants: The Kotti Web Application Framework,"web,wsgi,SQLAlchemy,open-source,Kotti,Pyramid","Kotti is a high-level, Pythonic web application framework based on Pyramid, SQLAlchemy and Bootstrap 3.  It includes an extensible Content Management System called the Kotti CMS.  Kotti is particularly well suited for building custom applications with object level security.  It comes with complete user and group management and supports the concepts of global and local roles providing management views for each of those. ,The talk will give an overview on Kotti, its philosophy, history and future. Target audience are people who want to learn what it is and can be used for.  Because Kotti is just a rather small layer on top of its foundations, the talk might also give some interesting insights on how to build a solid (web) framework that suits your personal preferences.,References:",Andreas Kaiser
Tuesday 21 July,"Sponsored massage training, in aid of the Python Software Foundation","PSF,REST,massage,relax","At some previous EuroPythons, I have taken advantage of people, while eating their food at the conference dinner, to extract money. But don’t worry, it’s all been in a good cause: in aid of the  ,Python Software Foundation,, which defends the intellectual property of the Python language, and supports Python conferences. We are well represented in the list of the ,top PSF donors,:,In the early days, I could reasonably visit most tables, offering a shoulder massage in return for a donation. But now, there are too many diners, and not enough hands to do this on my own! ,I need lots of help,:,What do you need to join in?, For everything apart from the massage, common sense, honesty and a sense of humour! Given these, I will be running a short massage workshop. Learn how to relax your own neck and shoulders, with fewer headaches, and less stress from hours spent crouching over a laptop. Then find out the essentials of massaging someone else’s neck, shoulders and back for three to four minutes. Become a more valuable member of your work team back home. Help others to relax!,If you’d rather not give a massage to diners/donors, no problem: there are lots of other ways to help. But at least you need to join fully in the workshop, so that you experience something of what we’ll be asking money for. ,A workshop means no onlookers – all participants!",Rob Collins
Monday 20 July,Sphinx autodoc: automated API documentation,"documentation,Sphinx,autodoc,automation","Using the automated documentation feature of Sphinx, you can make with ease the extensive documentation of Python program.
You just write python function documents (docstrings), Sphinx organizes them into the document, can be converted to a variety of formats.
In this session, I’ll explain a documentation procedure that uses with sphinx autodoc and autosummary extensions.,In this session, I’ll explain a documentation procedure that uses with sphinx autodoc, autosummary, coverage and doctest extensions.,Slide & Video:,Refs:",Takayuki SHIMIZUKAWA
Friday 24 July,Speeding up search with locality sensitive hashing,"search,data-science,bigdata,machine-learning,numpy,sklearn","Locality sensitive hashing (LSH) is a technique for reducing complex data down to a simple hash code. If two hash codes are similar than the original data is similar. Typically, they are used for speeding up search and other similarity comparisons. ,In this presentation I will discuss two ways of implementing LSH in python; the first method is completely stateless but only works on certain forms of data; the second is stateful but does not make any assumptions about the distribution of the underlying data. I will conclude the presentation by describing how we apply LSH to search at Lyst.",Maciej Kula
